,Country,Year,Month,Sales
97,Iran,2023,2,809.2919060106506
98,Iran,2023,3,833.8229374791845
99,Iran,2023,4,858.3539689477184
100,Iran,2023,5,882.8850004162523
101,Iran,2023,6,907.4160318847862
102,Iran,2023,7,931.9470633533201
103,Iran,2023,8,956.478094821854
104,Iran,2023,9,981.0091262903879
105,Iran,2023,10,1005.5401577589219
106,Iran,2023,11,1030.0711892274558
107,Iran,2023,12,1054.6022206959897
108,Iraq,2023,1,582.6568223443173
109,Iraq,2023,2,609.2311230436171
110,Iraq,2023,3,635.8054237429169
111,Iraq,2023,4,662.3797244422167
112,Iraq,2023,5,688.954025141531
113,Iraq,2023,6,715.5283258408308
114,Iraq,2023,7,742.1026265401306
115,Iraq,2023,8,768.6769272394304
116,Iraq,2023,9,795.2512279387302
117,Iraq,2023,10,821.8255286380299
118,Iraq,2023,11,848.3998293373297
119,Iraq,2023,12,874.9741300366295
120,Jordan,2023,1,111.98866758241638
121,Jordan,2023,2,115.76183191808013
122,Jordan,2023,3,119.53499625374388
123,Jordan,2023,4,123.30816058940763
124,Jordan,2023,5,127.08132492507139
125,Jordan,2023,6,130.85448926073514
126,Jordan,2023,7,134.62765359640252
127,Jordan,2023,8,138.40081793206627
128,Jordan,2023,9,142.17398226773003
129,Jordan,2023,10,145.94714660339378
130,Jordan,2023,11,149.72031093905753
131,Jordan,2023,12,153.49347527472128
132,Kazakhstan,2023,1,179.69814560439409
133,Kazakhstan,2023,2,184.64263861138897
134,Kazakhstan,2023,3,189.58713161838386
135,Kazakhstan,2023,4,194.53162462537148
136,Kazakhstan,2023,5,199.47611763236637
137,Kazakhstan,2023,6,204.42061063936126
138,Kazakhstan,2023,7,209.36510364635615
139,Kazakhstan,2023,8,214.30959665334376
140,Kazakhstan,2023,9,219.25408966033865
141,Kazakhstan,2023,10,224.19858266733354
142,Kazakhstan,2023,11,229.14307567432843
143,Kazakhstan,2023,12,234.08756868131604
144,Kuwait,2023,1,83.71039377289526
145,Kuwait,2023,2,91.90969447219504
146,Kuwait,2023,3,100.10899517149664
147,Kuwait,2023,4,108.30829587079643
148,Kuwait,2023,5,116.50759657009803
149,Kuwait,2023,6,124.70689726939781
150,Kuwait,2023,7,132.90619796869942
151,Kuwait,2023,8,141.1054986679992
152,Kuwait,2023,9,149.3047993673008
153,Kuwait,2023,10,157.50410006660059
154,Kuwait,2023,11,165.7034007659022
155,Kuwait,2023,12,173.90270146520197
156,Lebanese,2023,1,61.36858974358984
157,Lebanese,2023,2,63.51369463869378
158,Lebanese,2023,3,65.65879953379954
159,Lebanese,2023,4,67.80390442890348
160,Lebanese,2023,5,69.94900932400924
161,Lebanese,2023,6,72.09411421911318
162,Lebanese,2023,7,74.23921911421894
163,Lebanese,2023,8,76.38432400932288
164,Lebanese,2023,9,78.52942890442864
165,Lebanese,2023,10,80.67453379953258
166,Lebanese,2023,11,82.81963869463834
167,Lebanese,2023,12,84.96474358974228
168,Lebanon,2023,1,68.14102564102723
169,Lebanon,2023,2,71.88111888111962
170,Lebanon,2023,3,75.62121212121201
171,Lebanon,2023,4,79.3613053613044
172,Lebanon,2023,5,83.10139860140043
173,Lebanon,2023,6,86.84149184149283
174,Lebanon,2023,7,90.58158508158522
175,Lebanon,2023,8,94.32167832167761
176,Lebanon,2023,9,98.06177156177
177,Lebanon,2023,10,101.80186480186603
178,Lebanon,2023,11,105.54195804195842
179,Lebanon,2023,12,109.28205128205082
180,Libya,2023,1,82.62148962149149
181,Libya,2023,2,84.34759684759774
182,Libya,2023,3,86.07370407370581
183,Libya,2023,4,87.79981129981206
184,Libya,2023,5,89.52591852592013
185,Libya,2023,6,91.2520257520282
186,Libya,2023,7,92.97813297813445
187,Libya,2023,8,94.70424020424252
188,Libya,2023,9,96.43034743034877
189,Libya,2023,10,98.15645465645684
190,Libya,2023,11,99.8825618825631
191,Libya,2023,12,101.60866910867117
192,Netherlands,2023,1,83.38461538461706
193,Netherlands,2023,2,84.76923076923049
194,Netherlands,2023,3,86.15384615384755
195,Netherlands,2023,4,87.53846153846098
196,Netherlands,2023,5,88.92307692307804
197,Netherlands,2023,6,90.3076923076951
198,Netherlands,2023,7,91.69230769230853
199,Netherlands,2023,8,93.0769230769256
200,Netherlands,2023,9,94.46153846153902
201,Netherlands,2023,10,95.84615384615608
202,Netherlands,2023,11,97.23076923076951
203,Netherlands,2023,12,98.61538461538657
204,Norway,2023,1,-26.29059829059952
205,Norway,2023,2,-25.894327894327944
206,Norway,2023,3,-25.498057498058188
207,Norway,2023,4,-25.10178710178843
208,Norway,2023,5,-24.705516705516857
209,Norway,2023,6,-24.3092463092471
210,Norway,2023,7,-23.912975912977345
211,Norway,2023,8,-23.51670551670577
212,Norway,2023,9,-23.120435120436014
213,Norway,2023,10,-22.72416472416444
214,Norway,2023,11,-22.327894327894683
215,Norway,2023,12,-21.931623931624927
216,Othercountries,2023,1,956.602449633705
217,Othercountries,2023,2,989.1465929903497
218,Othercountries,2023,3,1021.6907363469945
219,Othercountries,2023,4,1054.2348797036393
220,Othercountries,2023,5,1086.779023060284
221,Othercountries,2023,6,1119.3231664169289
222,Othercountries,2023,7,1151.8673097735737
223,Othercountries,2023,8,1184.4114531302184
224,Othercountries,2023,9,1216.9555964868632
225,Othercountries,2023,10,1249.499739843508
226,Othercountries,2023,11,1282.0438832001237
227,Othercountries,2023,12,1314.5880265567685
228,Pakistani,2023,1,98.125
229,Pakistani,2023,2,96.10227272727298
230,Pakistani,2023,3,94.07954545454504
231,Pakistani,2023,4,92.05681818181802
232,Pakistani,2023,5,90.03409090909099
233,Pakistani,2023,6,88.01136363636397
234,Pakistani,2023,7,85.98863636363603
235,Pakistani,2023,8,83.96590909090901
236,Pakistani,2023,9,81.94318181818198
237,Pakistani,2023,10,79.92045454545496
238,Pakistani,2023,11,77.89772727272702
239,Pakistani,2023,12,75.875
240,Palestine,2023,1,115.0839743589786
241,Palestine,2023,2,116.76870629371115
242,Palestine,2023,3,118.4534382284437
243,Palestine,2023,4,120.13817016317262
244,Palestine,2023,5,121.82290209790517
245,Palestine,2023,6,123.50763403263772
246,Palestine,2023,7,125.19236596737028
247,Palestine,2023,8,126.87709790210283
248,Palestine,2023,9,128.5618298368354
249,Palestine,2023,10,130.2465617715643
250,Palestine,2023,11,131.93129370629686
251,Palestine,2023,12,133.6160256410294
252,Qatar,2023,1,97.05128205128494
253,Qatar,2023,2,99.1358974358991
254,Qatar,2023,3,101.22051282051689
255,Qatar,2023,4,103.30512820513104
256,Qatar,2023,5,105.3897435897452
257,Qatar,2023,6,107.47435897436299
258,Qatar,2023,7,109.55897435897714
259,Qatar,2023,8,111.64358974359129
260,Qatar,2023,9,113.72820512820908
261,Qatar,2023,10,115.81282051282324
262,Qatar,2023,11,117.89743589743739
263,Qatar,2023,12,119.98205128205518
264,RussianFederation,2023,1,732.0263278388302
265,RussianFederation,2023,2,767.0805236430315
266,RussianFederation,2023,3,802.1347194472328
267,RussianFederation,2023,4,837.1889152514341
268,RussianFederation,2023,5,872.2431110556063
269,RussianFederation,2023,6,907.2973068598076
270,RussianFederation,2023,7,942.3515026640089
271,RussianFederation,2023,8,977.4056984682102
