,Country,Year,Month,Sales
221,Iran,2020,February,721
222,Iran,2021,February,477
223,Iran,2022,February,711
224,Iraq,2015,February,243
225,Iraq,2016,February,365
226,Iraq,2017,February,282
227,Iraq,2018,February,308
228,Iraq,2019,February,628
229,Iraq,2020,February,691
230,Iraq,2021,February,432
231,Iraq,2022,February,633
232,Jordan,2015,February,15
233,Jordan,2016,February,21
234,Jordan,2017,February,24
235,Jordan,2018,February,46
236,Jordan,2019,February,125
237,Jordan,2020,February,141
238,Jordan,2021,February,81
239,Jordan,2022,February,117
240,Kazakhstan,2020,February,74
241,Kazakhstan,2021,February,119
242,Kazakhstan,2015,February,35
243,Kazakhstan,2016,February,40
244,Kazakhstan,2017,February,16
245,Kazakhstan,2018,February,28
246,Kazakhstan,2019,February,45
247,Kazakhstan,2022,February,197
248,Kuwait,2015,February,144
249,Kuwait,2016,February,159
250,Kuwait,2017,February,114
251,Kuwait,2018,February,99
252,Kuwait,2019,February,150
253,Kuwait,2020,February,79
254,Kuwait,2021,February,41
255,Kuwait,2022,February,144
256,Lebanese,2019,February,61
257,Lebanese,2020,February,46
258,Lebanon,2018,February,11
259,Lebanon,2021,February,49
260,Lebanon,2022,February,73
261,Libya,2019,February,69
262,Libya,2020,February,76
263,Libya,2015,February,31
264,Netherlands,2016,February,23
265,Netherlands,2018,February,43
266,Norway,2015,February,20
267,Norway,2016,February,22
268,Norway,2017,February,9
269,Othercountries,2015,February,241
270,Othercountries,2016,February,245
271,Othercountries,2017,February,231
272,Othercountries,2018,February,313
273,Othercountries,2019,February,626
274,Othercountries,2020,February,732
275,Othercountries,2021,February,521
276,Othercountries,2022,February,963
277,Pakistani,2021,February,63
278,Pakistani,2022,February,101
279,Palestine,2017,February,21
280,Palestine,2018,February,21
281,Palestine,2019,February,66
282,Palestine,2020,February,97
283,Palestine,2021,February,92
284,Palestine,2022,February,113
285,Qatar,2015,February,10
286,Qatar,2016,February,14
287,Qatar,2017,February,19
288,Qatar,2018,February,28
289,Qatar,2019,February,65
290,RussianFederation,2015,February,143
291,RussianFederation,2016,February,88
292,RussianFederation,2017,February,77
293,RussianFederation,2018,February,128
294,RussianFederation,2019,February,236
295,RussianFederation,2020,February,282
296,RussianFederation,2021,February,259
297,RussianFederation,2022,February,509
298,SaudiArabia,2015,February,97
299,SaudiArabia,2016,February,158
300,SaudiArabia,2017,February,143
301,SaudiArabia,2018,February,178
302,SaudiArabia,2019,February,143
303,SaudiArabia,2020,February,109
304,SaudiArabia,2022,February,53
305,Sudan,2021,February,35
306,Sweden,2015,February,33
307,Sweden,2016,February,25
308,Sweden,2017,February,14
309,Sweden,2018,February,29
310,Sweden,2019,February,51
311,Sweden,2020,February,50
312,Sweden,2021,February,40
313,Ukraine,2015,February,29
314,Ukraine,2016,February,25
315,Ukraine,2017,February,35
316,Ukraine,2018,February,32
317,Ukraine,2019,February,52
318,Ukraine,2020,February,76
319,Ukraine,2021,February,60
320,Ukraine,2022,February,111
321,UnitedArabEmirates,2015,February,28
322,UnitedArabEmirates,2016,February,13
323,UnitedArabEmirates,2017,February,11
324,UnitedStates,2018,February,15
325,UnitedStates,2019,February,45
326,UnitedStates,2020,February,43
327,UnitedStates,2021,February,63
328,UnitedStates,2022,February,101
329,Yemen,2017,February,18
330,Yemen,2018,February,30
331,Yemen,2019,February,143
332,Yemen,2020,February,131
333,Yemen,2021,February,79
334,Yemen,2022,February,141
335,Yemen,2015,February,14
336,Afghanistan,2015,March,33
337,Afghanistan,2016,March,148
338,Afghanistan,2017,March,112
339,Afghanistan,2018,March,108
340,Afghanistan,2019,March,150
341,Afghanistan,2020,March,184
342,Afghanistan,2021,March,302
343,Afghanistan,2022,March,214
344,Azerbaijan,2015,March,58
345,Azerbaijan,2016,March,60
346,Azerbaijan,2017,March,50
347,Azerbaijan,2018,March,61
348,Azerbaijan,2019,March,87
349,Azerbaijan,2020,March,95
350,Azerbaijan,2021,March,106
351,Azerbaijan,2022,March,115
352,Belgium,2016,March,28
353,Belgium,2017,March,24
354,Canada,2022,March,88
355,China,2015,March,24
356,China,2016,March,24
357,China,2020,March,86
358,China,2021,March,100
359,China,2022,March,78
360,Egypt,2015,March,19
361,Egypt,2016,March,39
362,Egypt,2017,March,39
363,Egypt,2018,March,41
364,Egypt,2019,March,59
365,Egypt,2020,March,49
366,Egypt,2021,March,99
367,Egypt,2022,March,126
368,England,2015,March,48
369,England,2016,March,62
370,England,2017,March,39
371,England,2018,March,52
372,England,2019,March,74
373,England,2020,March,65
374,England,2021,March,98
375,England,2022,March,140
376,Germany,2015,March,40
377,Germany,2016,March,74
378,Germany,2017,March,31
379,Germany,2018,March,78
380,Germany,2019,March,101
381,Germany,2020,March,87
382,Germany,2021,March,142
383,Germany,2022,March,244
384,Iran,2015,March,60
385,Iran,2016,March,53
386,Iran,2017,March,54
387,Iran,2018,March,156
388,Iran,2019,March,334
389,Iran,2020,March,465
390,Iran,2021,March,663
391,Iran,2022,March,784
392,Iraq,2015,March,297
393,Iraq,2016,March,244
394,Iraq,2017,March,323
395,Iraq,2018,March,348
396,Iraq,2019,March,548
397,Iraq,2020,March,426
398,Iraq,2021,March,644
399,Iraq,2022,March,741
400,Jordan,2015,March,14
401,Jordan,2016,March,28
402,Jordan,2017,March,36
403,Jordan,2018,March,52
404,Jordan,2019,March,101
405,Jordan,2020,March,86
406,Jordan,2021,March,91
407,Jordan,2022,March,117
408,Kazakhstan,2020,March,72
409,Kazakhstan,2021,March,166
410,Kazakhstan,2015,March,52
411,Kazakhstan,2016,March,28
412,Kazakhstan,2017,March,28
413,Kazakhstan,2018,March,28
414,Kazakhstan,2019,March,37
415,Kazakhstan,2022,March,241
